Number,A0,A1,A2,A3
0.0,0.0,0.0,0.0,0.0
1.0,3154.6569774997715,2069.767667780211,5429.390548814757,4919.447790086299
2.0,3166.0094130644534,2069.9084888649113,5425.6898088179105,4927.896420807877
3.0,3178.4248679183825,2071.132146906122,5418.266510726502,4934.764668826736
4.0,3189.0873825255253,2070.613356632775,5411.562896824049,4938.560843093789
5.0,3175.1047818640227,2071.433437271865,5415.460046913753,4939.561234100557
6.0,3163.492094586786,2071.9062553627723,5414.768003586578,4939.616846262448
7.0,3153.2615395613975,2072.3788043129884,5414.165853230978,4939.054558379439
8.0,3140.1137834166925,2072.5523288484537,5414.662593131153,4937.399976179927
9.0,3129.215391282529,2072.0871913183623,5415.635284502632,4936.092965123235
10.0,3117.4767801223356,2071.5970759053967,5416.013449618457,4935.75846760354
11.0,3106.317537486994,2071.143614286132,5416.121437623155,4933.708965877099
12.0,3095.421223889232,2071.425239888032,5416.965059071874,4938.614263814131
13.0,3109.3821133430924,2071.4970074926723,5416.095364750091,4939.390832166209
14.0,3121.033370683635,2071.5294544183434,5415.702166354283,4939.4301282255665
15.0,3138.986161898787,2071.5881998979576,5415.593715219761,4940.749728729864
16.0,3154.1346244191445,2071.639607379279,5414.250449131505,4941.259526675415
17.0,3164.187157848283,2071.6628508921754,5413.9763165230015,4941.823243279917
18.0,3175.222199071787,2071.2736342056182,5413.0455964271305,4943.092249247282
19.0,3186.8616291170874,2070.6920149597977,5412.613290418271,4936.0500408795615
20.0,3172.94167298495,2071.0788090644774,5414.699359204135,4933.568030966254
21.0,3160.1542945666415,2071.5889851386755,5415.964148070161,4934.37077703632
22.0,3171.106237563394,2071.4865246459767,5416.869203925735,4934.7337590078505
23.0,3188.4409377860557,2071.9458148580197,5417.863182391707,4935.391014649124
24.0,3200.4296597000257,2071.7029667082697,5417.485052547037,4936.611056950398
25.0,3212.1112908038835,2071.3044142561725,5415.733294258274,4937.212033103335
26.0,3200.133844780995,2072.2956756147028,5413.746692924773,4934.920935116072
27.0,3211.7136715970264,2072.9311740108424,5411.777551152719,4933.241319632831
28.0,3200.2043398836618,2072.3741428273806,5411.8894932334915,4935.543181943411
29.0,3212.0145332469638,2072.6810739168523,5412.901725911974,4936.099415605351
30.0,3224.255672711469,2072.1951588555803,5414.833024559963,4936.8063534831945
31.0,3204.182845519556,2072.745761030318,5416.997368760385,4943.256918072957
32.0,3187.7927606777716,2072.5687103086216,5416.5461681004135,4948.527832580483
33.0,3172.459532802553,2072.4030760799124,5416.1240615278375,4967.967202508752
34.0,3158.115014168702,2072.2481221915687,5415.729173012186,4984.86346359022
35.0,3144.0506365840033,2072.103159959238,5414.714932753754,4999.380599277768
36.0,3130.893150862672,2072.6123598412837,5414.410906942205,5012.316833854709
37.0,3118.584079264072,2073.088725762467,5414.126485164257,5024.418920909662
38.0,3107.068714781772,2072.889560175662,5413.860403322623,5035.74064751739
39.0,3096.2958780004296,2072.703237079905,5413.6114788309305,5045.687517752559
40.0,3086.2176896310157,2072.6578913174303,5413.378605357772,5056.282628568797
41.0,3076.7893577133937,2072.4865065718163,5413.160747909661,5068.773809907196
42.0,3059.717350419097,2072.30514085422,5412.766270500956,5063.121329323844
43.0,3043.527965645713,2072.267057724376,5412.421025879612,5057.86021543288
44.0,3029.3590984310167,2072.5873535122414,5412.118869542921,5052.945781535138
45.0,3016.9585778950436,2072.2644386421484,5411.854423853549,5048.395083812103
46.0,3002.3658721768516,2072.216512063219,5411.518330041904,5042.092984089058
47.0,2991.0627476918085,2072.9823684425005,5411.243149516498,5036.820202528856
48.0,2979.4245597668028,2072.1370922165656,5413.231149074469,5029.887735067592
49.0,2968.7260813686476,2074.771973823146,5412.08021857719,5025.935290849683
50.0,2966.3889712421137,2074.176407237373,5412.423832837348,5036.510150997004
51.0,2964.343544337434,2074.903221211393,5413.369377003599,5054.459992012275
52.0,2962.55339710603,2075.5393251075334,5412.948861629389,5070.0448658376645
53.0,2960.7077649125545,2074.8072740518214,5415.847117554335,5083.948320489241
54.0,2959.371381431604,2074.8521165302814,5417.613469212471,5097.184109076555
55.0,2955.4021608981157,2073.7165569889767,5418.096711282695,5086.440584744505
56.0,2954.1247076520303,2073.2527117881887,5417.731015276917,5076.3367094760315
57.0,2951.484284482233,2072.66319375757,5419.3902944815545,5063.218433445573
58.0,2948.154834134485,2072.180519348848,5417.043592768757,5051.93398301894
59.0,2944.446121948547,2071.3674979985713,5416.1745075412855,5064.455552840502
60.0,2945.45270090922,2071.119654113385,5415.05544635089,5076.937994956181
61.0,2946.7214055258914,2071.1084536895196,5417.304564568675,5087.484350030569
62.0,2953.4270828527647,2073.1711530683533,5412.066537576395,5072.8988210183
63.0,2951.638387326049,2072.596416653529,5412.940051323101,5058.397086680465
64.0,2951.433908261031,2072.2723706594775,5413.821168798546,5046.116630182156
65.0,2951.254949222545,2073.2368180750755,5414.592318334978,5034.724022355443
66.0,2949.2151141765025,2073.8177552736825,5415.572400817808,5023.7992762892
67.0,2947.0584654724794,2072.924271285795,5414.715743392456,5034.078671409267
