Number,A0,A1,A2,A3
0.0,0.0,0.0,0.0,0.0
1.0,2079.7665454023377,4919.447790086299,3069.6554299928735,5449.38830405901
2.0,2086.6680168344246,4916.389726903975,3068.386906072139,5437.958659526493
3.0,2085.5147992564985,4905.643732823014,3066.3293651165786,5442.585465463749
4.0,2075.474602396929,4908.011827441556,3062.1019599702736,5445.663492158772
5.0,2074.7954426678675,4897.938930565034,3060.8458904273257,5443.050611266465
6.0,2086.269587219493,4890.312295438845,3061.196391406188,5439.585625192086
7.0,2081.1937433752687,4900.493681139384,3061.012360942976,5442.674527031698
8.0,2092.046704301889,4902.070827829524,3062.072776467095,5438.899916024112
9.0,2102.8471539770635,4897.563967020447,3063.4377791568736,5440.51058812068
10.0,2111.202784422793,4887.428749739928,3061.4384817486407,5442.366865524694
11.0,2116.882683512917,4897.551760226471,3060.9620713072995,5443.060340224859
12.0,2111.433237900919,4887.525214356706,3061.0192370379996,5437.862769728497
