Number,A0,A1,A2,A3
0,4550,6450,1000,4480
1,4550,6470,1010,4490
2,4552,6470,1020,4510
3,4550,6450,1020,4500
4,4550,6450,960,4500
5,4550,6480,980,4500
6,4550,6480,960,4500
7,4550,6470,960,4500
8,4550,6470,930,4500
9,4550,6480,1060,4500
10,4550,6490,1080,4500
11,4550,6480,1080,4500
12,4550,6480,1060,4490
13,4550,6480,1060,4490
14,4550,6480,1030,4500
15,4550,6470,1020,4520
16,4550,6470,1030,4520
17,4550,6450,1040,4520
18,4550,6470,1050,4530
19,4550,6450,1060,4520
20,4550,6450,1030,4510
21,4550,6450,990,4510
22,4552,6450,990,4510
23,4552,6480,816,4510
24,4550,6480,816,4500
25,4550,6470,1080,4500
26,4550,6450,1030,4490
27,4560,6470,990,4490
28,4560,6470,960,4490
29,4560,6480,960,4480
30,4552,6470,950,4490
31,4552,6480,950,4490
32,4560,6470,950,4500
33,4560,6470,950,4490
34,4560,6470,950,4500
35,4560,6490,940,4500
36,4560,6490,940,4490
37,4560,6490,940,4490
38,4560,6480,930,4500
39,4560,6490,910,4500
40,4550,6470,900,4500
41,4550,6470,880,4480
42,4550,6470,880,4480
43,4550,6480,870,4490
44,4550,6480,880,4490
45,4550,6480,900,4480
46,4560,6450,910,4480
47,4560,6470,910,4480
48,4552,6470,900,4490
49,4552,6470,920,4490
50,4560,6440,940,4490
51,4560,6440,950,4490
52,4560,6440,960,4510
53,4560,6440,960,4500
54,4560,6470,960,4510
55,4560,6480,980,4490
56,4560,6480,1000,4490
57,4560,6470,1000,4490
58,4550,6470,1000,4500
59,4550,6480,1010,4490
60,4550,6470,1020,4490
61,4550,6470,1020,4470
62,4550,6470,980,4480
63,4550,6490,970,4470
64,4560,6480,960,4470
65,4550,6470,970,4470
66,4550,6470,950,4470
67,4550,6450,930,4470
68,4550,6450,920,4470
69,4550,6470,900,4470
70,4560,6470,910,4460
71,4560,6470,910,4460
72,4560,6470,910,4450
73,4560,6470,920,4460
74,4552,6470,940,4470
75,4552,6470,940,4470
76,4552,6470,950,4480
77,4552,6470,950,4480
78,4560,6470,950,4480
79,4550,6450,930,4480
80,4550,6450,920,4480
81,4550,6480,920,4490
82,4550,6480,920,4480
83,4560,6480,910,4470
84,4552,6470,910,4480
85,4552,6450,920,4480
86,4552,6450,930,4490
87,4552,6450,930,4490
88,4560,6450,920,4480
89,4560,6450,910,4470
90,4550,6450,910,4470
91,4550,6440,920,4470
92,4550,6450,910,4480
93,4550,6450,910,4490
94,4560,6470,890,4490
95,4560,6470,890,4490
96,4560,6480,880,4480
97,4560,6490,880,4480
98,4560,6490,890,4490
99,4560,6466,910,4510
100,4560,6490,940,4520
101,4550,6490,1060,4530
102,4550,6480,816,4510
103,4550,6470,1110,4500
104,4550,6470,816,4500
105,4552,6480,816,4500
106,4552,6490,816,4500
107,4552,6480,816,4500
108,4552,6490,1090,4500
109,4552,6490,1040,4490
110,4550,6470,1010,4490
111,4550,6470,980,4490
112,4550,6470,960,4490
113,4550,6470,940,4480
114,4550,6450,910,4500
115,4550,6450,910,4510
116,4550,6480,920,4500
117,4550,6470,970,4500
118,4550,6470,970,4490
119,4550,6470,960,4490
120,4550,6470,950,4500
121,4550,6470,950,4490
122,4550,6470,950,4490
123,4550,6470,950,4480
124,4550,6470,930,4490
125,4550,6480,920,4480
126,4550,6480,940,4470
127,4550,6480,950,4470
128,4550,6470,960,4470
129,4550,6470,970,4470
130,4550,6480,970,4480
131,4550,6490,960,4480
132,4550,6490,960,4470
133,4550,6490,960,4470
134,4550,6490,960,4480
135,4550,6490,960,4480
136,4550,6470,680,4640
137,4550,6480,680,4640
138,4552,6450,670,4630
139,4552,6440,690,4640
140,4553,6440,680,4630
141,4553,6450,660,4620
142,4553,6450,650,4600
143,4550,6466,650,4580
144,4550,6440,650,4620
145,4550,6440,650,4690
146,4550,6440,650,4680
147,4550,6466,660,4690
148,4550,6440,670,4720
149,4550,6440,670,4760
150,4550,6440,670,4820
151,4550,6450,670,4810
152,4550,6480,660,4840
153,4550,6480,660,4830
154,4560,6480,660,4810
155,4560,6480,650,4740
156,4550,6490,660,4710
157,4550,6480,660,4700
158,4550,6480,660,4660
159,4550,6450,650,4850
160,4550,6440,660,4607
161,4550,6450,670,4605
162,4550,6470,670,4810
163,4550,6480,670,4750
164,4553,6480,670,4750
165,4550,6480,680,4770
166,4560,6450,680,4750
167,4560,6450,680,4730
168,4560,6450,680,4710
169,4550,6440,670,4680
170,4550,6470,680,4650
171,4550,6480,680,4620
172,4560,6480,670,4650
173,4550,6490,680,4670
174,4550,6480,680,4720
175,4550,6480,680,4770
176,4550,6470,670,4800
177,4550,6450,660,4810
178,4550,6450,670,4830
179,4550,6450,670,4850
180,4550,6450,680,4880
181,4553,6450,660,4604
182,4550,6450,660,4603
183,4550,6450,660,4602
184,4550,6450,670,4601
185,4550,6470,670,4820
186,4550,6470,670,4790
187,4560,6480,660,4770
188,4560,6450,660,4760
189,4553,6470,660,4760
190,4553,6450,660,4740
191,4553,6450,660,4720
192,4553,6450,660,4710
193,4553,6450,660,4690
194,4553,6450,680,4680
195,4553,6470,680,4680
196,4553,6440,680,4690
197,4553,6450,670,4690
