Number,A0,A1,A2,A3
0,4600,6100,1030,4010
1,4610,6100,1030,4010
2,4610,6100,1030,4010
3,4610,6090,1030,4010
4,4606,6100,1030,4010
5,4610,6100,1020,4010
6,4610,6100,1020,4010
7,4606,6100,1020,4010
8,4610,6090,1010,4010
9,4605,6100,1020,4010
10,4610,6100,1020,4010
11,4610,6100,1020,4010
12,4610,6090,1020,4010
13,4610,6090,1020,4010
14,4600,6090,1030,4010
15,4600,6090,1030,4010
16,4600,6090,1030,4010
17,4610,6090,1030,4010
18,4605,6090,1030,4010
19,4610,6100,1030,4010
20,4610,6100,1020,4010
21,4605,6093,1020,4000
22,4610,6093,1020,4000
23,4605,6110,1020,4010
24,4610,6093,1020,4020
25,4610,6093,1020,4000
26,4610,6100,1020,4000
27,4610,6110,1010,4000
28,4610,6093,1010,4000
29,4610,6110,1020,4000
30,4610,6100,1010,4000
31,4610,6100,1010,4010
32,4610,6100,1010,4010
33,4610,6100,1020,4020
34,4610,6100,1020,4010
35,4610,6110,1020,4020
36,4605,6110,1020,4020
37,4610,6110,1020,4010
38,4610,6100,1010,4010
39,4610,6090,1010,4010
40,4610,6090,1010,4010
41,4610,6090,1010,4010
42,4610,6100,1010,4000
43,4600,6100,1010,4000
44,4600,6093,1020,4010
45,4600,6093,1020,4000
46,4600,6093,1020,4010
47,4600,6093,1020,4020
48,4600,6100,1020,4020
49,4605,6100,1020,4020
50,4605,6100,1010,4020
51,4605,6090,1010,4020
52,4605,6100,1020,4020
53,4600,6100,1010,4020
54,4610,6090,1010,4020
55,4610,6080,1010,4020
56,4610,6080,1010,4010
57,4610,6080,1010,4010
58,4610,6080,1010,4010
59,4610,6080,1020,4020
60,4610,6100,1020,4020
61,4605,6100,1010,4020
62,4610,6110,1010,4020
63,4600,6100,1010,4020
64,4600,6090,1020,4020
65,4605,6090,1010,4020
66,4605,6090,1010,4020
67,4605,6090,1020,4000
68,4600,6080,1020,4000
69,4600,6080,1010,4000
70,4600,6080,1010,4000
71,4600,6080,1010,4000
72,4600,6080,1010,4000
73,4600,6080,1010,4010
74,4600,6090,1010,4000
75,4600,6090,1020,4000
76,4600,6080,1010,4000
77,4600,6080,1010,4000
78,4600,6100,1010,4000
79,4600,6090,1010,4010
80,4600,6090,1010,4010
81,4600,6080,1010,4010
82,4600,6080,1010,4010
83,4600,6090,1010,4010
84,4600,6090,1010,4020
85,4600,6100,1010,4020
86,4600,6100,1020,4020
87,4600,6090,1020,4020
88,4600,6090,1010,4010
89,4600,6090,1010,4010
90,4600,6090,1010,4010
91,4600,6090,1020,4010
92,4600,6100,1020,4010
93,4610,6100,1030,4020
94,4610,6090,1020,4020
95,4600,6090,1020,4020
96,4610,6090,1020,4020
97,4610,6090,1020,4010
98,4610,6100,1020,4020
99,4610,6090,1020,4020
100,4610,6090,1020,4020
101,4600,6100,1020,4010
102,4600,6100,1020,4010
103,4600,6100,1020,4010
104,4600,6093,1020,4010
105,4600,6110,1010,4010
106,4600,6100,1010,4010
107,4600,6100,1010,4010
108,4600,6100,1010,4000
109,4600,6100,1010,4010
110,4605,6090,1020,4010
111,4600,6090,1010,4010
112,4600,6100,1010,4010
113,4600,6090,1010,4010
114,4600,6090,1020,4010
115,4605,6100,1010,4010
116,4605,6100,1020,4020
117,4605,6100,1010,4020
118,4600,6100,1010,4020
119,4610,6100,1010,4010
120,4600,6100,1020,4010
121,4600,6110,1010,4010
122,4600,6110,1010,4020
123,4600,6100,1010,4020
124,4600,6100,1020,4020
125,4600,6090,1020,4020
126,4600,6090,1020,4020
127,4600,6090,1020,4020
128,4605,6090,1020,4020
129,4605,6090,1020,4010
130,4600,6080,1020,4010
131,4600,6080,1020,4010
132,4600,6080,1030,4010
133,4600,6080,1030,4010
134,4600,6080,1030,4010
135,4600,6080,1030,4010
136,4600,6080,1020,4010
137,4600,6080,1020,4010
138,4600,6080,1020,4000
139,4610,6080,1030,4010
140,4610,6080,1030,4000
141,4610,6090,1020,4000
142,4610,6080,1020,4000
143,4600,6080,1020,4010
144,4600,6090,1020,4010
145,4600,6100,1020,4010
146,4600,6090,1010,4010
147,4600,6090,1010,4020
148,4610,6090,1010,4020
149,4610,6090,1010,4010
150,4610,6090,1010,4010
151,4605,6080,1020,4010
152,4605,6080,1020,4020
153,4605,6080,1010,4010
154,4610,6080,1020,4010
155,4610,6100,1020,4010
156,4610,6100,1020,4010
157,4610,6100,1020,4020
158,4600,6100,1030,4000
159,4605,6110,1030,4000
160,4600,6100,1030,4000
161,4610,6090,1020,4000
162,4610,6110,1020,4010
163,4610,6100,1030,4010
164,4610,6100,1030,4020
165,4610,6110,1030,4020
166,4610,6100,1020,4020
167,4610,6100,1020,4010
168,4610,6110,1020,4010
169,4605,6110,1020,4010
170,4605,6110,1020,4010
171,4605,6110,1020,4010
172,4610,6100,1030,4010
173,4610,6100,1020,4010
174,4600,6100,1020,4010
175,4600,6100,1020,4010
176,4600,6110,1010,4010
177,4600,6110,1010,4010
178,4600,6100,1010,4020
179,4600,6100,1010,4010
180,4600,6090,1020,4020
181,4600,6090,1030,4010
182,4600,6090,1030,4020
183,4600,6080,1030,4010
184,4600,6080,1030,4020
185,4600,6080,1020,4020
186,4605,6080,1020,4010
187,4600,6100,1020,4000
188,4600,6100,1020,4000
189,4600,6093,1030,4000
190,4600,6093,1030,4010
191,4600,6093,1020,4010
192,4600,6110,1020,4010
193,4600,6100,1010,4020
194,4600,6100,1020,4020
195,4610,6110,1010,4020
196,4600,6090,1010,4010
197,4610,6080,1020,4010
198,4610,6080,1010,4000
199,4610,6090,1010,4000
200,4600,6090,1010,4000
201,4610,6090,1010,4010
202,4600,6090,1010,4000
203,4610,6090,1010,4010
204,4610,6090,1010,4010
205,4610,6090,1010,4010
206,4610,6090,1010,4010
207,4605,6090,1010,4010
208,4605,6090,1010,4010
209,4605,6080,1010,4010
210,4605,6100,1010,4010
211,4605,6090,1010,4010
212,4610,6090,1020,4010
213,4610,6090,1030,4020
214,4610,6090,1030,4020
215,4610,6100,1030,4020
216,4610,6110,1030,4020
217,4610,6110,1030,4020
218,4610,6110,1020,4010
219,4610,6100,1030,4000
220,4605,6100,1030,4010
221,4610,6090,1030,4010
222,4610,6090,1030,4010
223,4600,6090,1020,4000
224,4600,6090,1010,4000
225,4600,6090,1010,4010
226,4600,6090,1010,4010
227,4610,6080,1010,4020
228,4605,6090,1010,4020
229,4610,6080,1010,4010
230,4610,6093,1010,4010
231,4610,6093,1010,4000
232,4610,6090,1010,4010
233,4610,6090,1020,4010
234,4610,6090,1020,4010
235,4600,6090,1010,4010
236,4610,6080,1010,4010
237,4610,6090,1020,4010
238,4610,6090,1020,4010
239,4610,6100,1020,4010
240,4605,6100,1020,4010
241,4610,6100,1020,4020
242,4610,6090,1020,4020
243,4610,6080,1020,4010
244,4610,6100,1020,4020
245,4610,6090,1020,4000
246,4610,6090,1020,4010
247,4605,6090,1020,4000
248,4605,6090,1020,4010
249,4610,6090,1030,4010
250,4610,6090,1030,4010
251,4610,6090,1020,4010
252,4605,6090,1010,4010
253,4610,6090,1020,4020
254,4610,6090,1020,4010
255,4605,6090,1010,4010
256,4605,6090,1020,4010
257,4610,6100,1020,4010
258,4610,6110,1020,4010
259,4610,6100,1020,4010
260,4610,6100,1020,4010
261,4610,6100,1020,4010
262,4610,6100,1020,4010
263,4610,6110,1020,4000
264,4605,6110,1020,4010
265,4605,6110,1020,4000
266,4610,6100,1020,4010
267,4610,6090,1030,4000
268,4600,6090,1030,4010
269,4605,6090,1020,4010
270,4600,6110,1020,4010
271,4600,6100,1020,4020
272,4600,6100,1020,4000
