Document Number,The Number of Dissimilar Data
1.abnormal_document,38
2.abnormal_document,37
3.abnormal_document,38
4.abnormal_document,37
5.abnormal_document,39
6.abnormal_document,41
7.abnormal_document,48
8.abnormal_document,44
9.abnormal_document,41
10.abnormal_document,41
11.abnormal_document,43
12.abnormal_document,39
13.abnormal_document,39
14.abnormal_document,37
15.abnormal_document,34
16.abnormal_document,41
17.abnormal_document,43
18.abnormal_document,42
19.abnormal_document,40
20.abnormal_document,38
21.abnormal_document,40
22.abnormal_document,40
23.abnormal_document,36
24.abnormal_document,34
25.abnormal_document,38
26.abnormal_document,37
27.abnormal_document,38
28.abnormal_document,38
29.abnormal_document,36
30.abnormal_document,36
31.abnormal_document,36
32.abnormal_document,40
33.abnormal_document,35
34.abnormal_document,40
35.abnormal_document,38
36.abnormal_document,46
37.abnormal_document,38
38.abnormal_document,42
39.abnormal_document,36
40.abnormal_document,40
41.abnormal_document,37
42.abnormal_document,36
43.abnormal_document,38
44.abnormal_document,39
45.abnormal_document,39
46.abnormal_document,39
47.abnormal_document,38
48.abnormal_document,37
49.abnormal_document,35
50.abnormal_document,40
51.abnormal_document,38
52.abnormal_document,35
53.abnormal_document,37
54.abnormal_document,42
55.abnormal_document,40
56.abnormal_document,43
57.abnormal_document,39
58.abnormal_document,38
59.abnormal_document,37
60.abnormal_document,36
61.abnormal_document,40
62.abnormal_document,40
63.abnormal_document,38
64.abnormal_document,39
65.abnormal_document,37
66.abnormal_document,41
67.abnormal_document,35
68.abnormal_document,38
69.abnormal_document,39
70.abnormal_document,36
71.abnormal_document,38
72.abnormal_document,36
73.abnormal_document,38
74.abnormal_document,39
75.abnormal_document,39
76.abnormal_document,34
77.abnormal_document,39
78.abnormal_document,37
79.abnormal_document,36
80.abnormal_document,36
81.abnormal_document,37
82.abnormal_document,69
83.abnormal_document,37
84.abnormal_document,40
85.abnormal_document,98
86.abnormal_document,106
87.abnormal_document,98
88.abnormal_document,61
89.abnormal_document,37
90.abnormal_document,69
91.abnormal_document,99
92.abnormal_document,39
93.abnormal_document,47
94.abnormal_document,70
95.abnormal_document,115
96.abnormal_document,106
97.abnormal_document,40
98.abnormal_document,59
99.abnormal_document,36
100.abnormal_document,54
101.abnormal_document,73
102.abnormal_document,86
103.abnormal_document,53
104.abnormal_document,119
105.abnormal_document,151
106.abnormal_document,51
107.abnormal_document,99
108.abnormal_document,75
109.abnormal_document,45
110.abnormal_document,45
111.abnormal_document,41
112.abnormal_document,42
113.abnormal_document,78
114.abnormal_document,82
115.abnormal_document,87
116.abnormal_document,47
117.abnormal_document,107
118.abnormal_document,31
119.abnormal_document,42
120.abnormal_document,39
121.abnormal_document,89
122.abnormal_document,59
123.abnormal_document,82
124.abnormal_document,129
125.abnormal_document,37
126.abnormal_document,41
127.abnormal_document,38
128.abnormal_document,67
129.abnormal_document,59
130.abnormal_document,62
131.abnormal_document,41
132.abnormal_document,55
133.abnormal_document,137
134.abnormal_document,95
135.abnormal_document,52
136.abnormal_document,108
137.abnormal_document,95
138.abnormal_document,63
139.abnormal_document,65
140.abnormal_document,100
141.abnormal_document,77
142.abnormal_document,148
143.abnormal_document,37
144.abnormal_document,58
145.abnormal_document,39
146.abnormal_document,38
147.abnormal_document,57
148.abnormal_document,50
149.abnormal_document,100
150.abnormal_document,39
151.abnormal_document,65
152.abnormal_document,42
153.abnormal_document,70
154.abnormal_document,81
155.abnormal_document,66
156.abnormal_document,37
157.abnormal_document,166
158.abnormal_document,127
159.abnormal_document,66
160.abnormal_document,129
161.abnormal_document,104
162.abnormal_document,94
163.abnormal_document,129
164.abnormal_document,34
165.abnormal_document,111
166.abnormal_document,47
167.abnormal_document,39
168.abnormal_document,38
169.abnormal_document,83
170.abnormal_document,74
171.abnormal_document,68
172.abnormal_document,37
173.abnormal_document,114
174.abnormal_document,59
175.abnormal_document,74
176.abnormal_document,109
177.abnormal_document,94
178.abnormal_document,70
179.abnormal_document,54
180.abnormal_document,76
181.abnormal_document,81
182.abnormal_document,29
183.abnormal_document,108
184.abnormal_document,111
185.abnormal_document,115
186.abnormal_document,43
187.abnormal_document,37
188.abnormal_document,89
189.abnormal_document,115
190.abnormal_document,122
191.abnormal_document,40
192.abnormal_document,74
193.abnormal_document,122
194.abnormal_document,114
195.abnormal_document,40
196.abnormal_document,112
197.abnormal_document,46
198.abnormal_document,38
199.abnormal_document,39
200.abnormal_document,151
201.abnormal_document,49
202.abnormal_document,40
203.abnormal_document,55
204.abnormal_document,93
205.abnormal_document,107
206.abnormal_document,109
207.abnormal_document,38
208.abnormal_document,39
209.abnormal_document,80
210.abnormal_document,115
211.abnormal_document,74
212.abnormal_document,71
213.abnormal_document,131
214.abnormal_document,138
215.abnormal_document,73
216.abnormal_document,68
217.abnormal_document,39
218.abnormal_document,43
219.abnormal_document,75
220.abnormal_document,103
221.abnormal_document,149
222.abnormal_document,86
223.abnormal_document,77
224.abnormal_document,88
225.abnormal_document,35
226.abnormal_document,41
227.abnormal_document,100
228.abnormal_document,93
229.abnormal_document,36
230.abnormal_document,78
231.abnormal_document,67
232.abnormal_document,132
233.abnormal_document,71
234.abnormal_document,40
235.abnormal_document,40
236.abnormal_document,34
237.abnormal_document,45
238.abnormal_document,103
239.abnormal_document,92
240.abnormal_document,174
241.abnormal_document,46
242.abnormal_document,40
243.abnormal_document,84
244.abnormal_document,73
245.abnormal_document,113
246.abnormal_document,64
247.abnormal_document,68
248.abnormal_document,155
249.abnormal_document,122
250.abnormal_document,40
251.abnormal_document,107
252.abnormal_document,36
253.abnormal_document,36
254.abnormal_document,57
255.abnormal_document,77
256.abnormal_document,85
257.abnormal_document,100
258.abnormal_document,37
259.abnormal_document,74
260.abnormal_document,78
261.abnormal_document,37
262.abnormal_document,70
263.abnormal_document,38
264.abnormal_document,134
265.abnormal_document,100
266.abnormal_document,72
267.abnormal_document,96
268.abnormal_document,60
269.abnormal_document,80
270.abnormal_document,104
271.abnormal_document,73
272.abnormal_document,51
273.abnormal_document,89
274.abnormal_document,112
275.abnormal_document,38
276.abnormal_document,92
277.abnormal_document,116
278.abnormal_document,158
279.abnormal_document,81
280.abnormal_document,84
281.abnormal_document,108
282.abnormal_document,110
283.abnormal_document,101
284.abnormal_document,91
285.abnormal_document,102
286.abnormal_document,129
287.abnormal_document,125
288.abnormal_document,104
289.abnormal_document,44
290.abnormal_document,37
291.abnormal_document,39
292.abnormal_document,114
293.abnormal_document,77
294.abnormal_document,84
295.abnormal_document,110
296.abnormal_document,137
297.abnormal_document,39
298.abnormal_document,38
299.abnormal_document,82
300.abnormal_document,128
301.abnormal_document,87
302.abnormal_document,90
303.abnormal_document,39
304.abnormal_document,99
305.abnormal_document,38
306.abnormal_document,58
307.abnormal_document,79
308.abnormal_document,104
309.abnormal_document,52
310.abnormal_document,81
311.abnormal_document,112
312.abnormal_document,85
313.abnormal_document,125
314.abnormal_document,39
315.abnormal_document,85
316.abnormal_document,79
317.abnormal_document,78
318.abnormal_document,110
319.abnormal_document,92
320.abnormal_document,40
321.abnormal_document,99
322.abnormal_document,41
323.abnormal_document,46
324.abnormal_document,104
